지역명,규모구분,연도,월,분양가격(제곱미터)
서울,모든면적,2015.0,10.0,5841.0
서울,전용면적 60제곱미터이하,2015.0,10.0,5652.0
서울,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,5882.0
서울,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,5721.0
서울,전용면적 102제곱미터초과,2015.0,10.0,5879.0
인천,모든면적,2015.0,10.0,3163.0
인천,전용면적 60제곱미터이하,2015.0,10.0,3488.0
인천,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,3119.0
인천,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,3545.0
인천,전용면적 102제곱미터초과,2015.0,10.0,3408.0
경기,모든면적,2015.0,10.0,3138.0
경기,전용면적 60제곱미터이하,2015.0,10.0,3126.0
경기,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,3239.0
경기,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,3496.0
경기,전용면적 102제곱미터초과,2015.0,10.0,3680.0
부산,모든면적,2015.0,10.0,3112.0
부산,전용면적 60제곱미터이하,2015.0,10.0,2950.0
부산,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2999.0
부산,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2957.0
부산,전용면적 102제곱미터초과,2015.0,10.0,3500.0
대구,모든면적,2015.0,10.0,2682.0
대구,전용면적 60제곱미터이하,2015.0,10.0,2614.0
대구,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2696.0
대구,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2557.0
대구,전용면적 102제곱미터초과,2015.0,10.0,2598.0
광주,모든면적,2015.0,10.0,2420.0
광주,전용면적 60제곱미터이하,2015.0,10.0,2253.0
광주,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2439.0
광주,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,  
광주,전용면적 102제곱미터초과,2015.0,10.0,  
대전,모든면적,2015.0,10.0,2454.0
대전,전용면적 60제곱미터이하,2015.0,10.0,2585.0
대전,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2428.0
대전,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2461.0
대전,전용면적 102제곱미터초과,2015.0,10.0,  
울산,모든면적,2015.0,10.0,3053.0
울산,전용면적 60제곱미터이하,2015.0,10.0,2422.0
울산,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,3040.0
울산,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2951.0
울산,전용면적 102제곱미터초과,2015.0,10.0,2690.0
세종,모든면적,2015.0,10.0,2642.0
세종,전용면적 60제곱미터이하,2015.0,10.0,2572.0
세종,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2657.0
세종,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2644.0
세종,전용면적 102제곱미터초과,2015.0,10.0,2692.0
강원,모든면적,2015.0,10.0,2167.0
강원,전용면적 60제곱미터이하,2015.0,10.0,2286.0
강원,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2212.0
강원,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2061.0
강원,전용면적 102제곱미터초과,2015.0,10.0,2171.0
충북,모든면적,2015.0,10.0,2032.0
충북,전용면적 60제곱미터이하,2015.0,10.0,1919.0
충북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2033.0
충북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2102.0
충북,전용면적 102제곱미터초과,2015.0,10.0,2369.0
충남,모든면적,2015.0,10.0,2099.0
충남,전용면적 60제곱미터이하,2015.0,10.0,2206.0
충남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2101.0
충남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2743.0
충남,전용면적 102제곱미터초과,2015.0,10.0,2442.0
전북,모든면적,2015.0,10.0,2054.0
전북,전용면적 60제곱미터이하,2015.0,10.0,2127.0
전북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2056.0
전북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2377.0
전북,전용면적 102제곱미터초과,2015.0,10.0,2250.0
전남,모든면적,2015.0,10.0,1925.0
전남,전용면적 60제곱미터이하,2015.0,10.0,1999.0
전남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,1922.0
전남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2262.0
전남,전용면적 102제곱미터초과,2015.0,10.0,2292.0
경북,모든면적,2015.0,10.0,2148.0
경북,전용면적 60제곱미터이하,2015.0,10.0,2204.0
경북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2145.0
경북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2308.0
경북,전용면적 102제곱미터초과,2015.0,10.0,2222.0
경남,모든면적,2015.0,10.0,2291.0
경남,전용면적 60제곱미터이하,2015.0,10.0,2239.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2305.0
경남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2890.0
경남,전용면적 102제곱미터초과,2015.0,10.0,3014.0
제주,모든면적,2015.0,10.0,2232.0
제주,전용면적 60제곱미터이하,2015.0,10.0,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015.0,10.0,2225.0
제주,전용면적 85제곱미터초과 102제곱미터이하,2015.0,10.0,2583.0
제주,전용면적 102제곱미터초과,2015.0,10.0,2574.0
서울,모든면적,2015.0,11.0,6050.0
서울,전용면적 60제곱미터이하,2015.0,11.0,6320.0
서울,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,5964.0
서울,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,7092.0
서울,전용면적 102제곱미터초과,2015.0,11.0,6551.0
인천,모든면적,2015.0,11.0,3184.0
인천,전용면적 60제곱미터이하,2015.0,11.0,3328.0
인천,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,3119.0
인천,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,3545.0
인천,전용면적 102제곱미터초과,2015.0,11.0,3408.0
경기,모든면적,2015.0,11.0,3098.0
경기,전용면적 60제곱미터이하,2015.0,11.0,3079.0
경기,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,3202.0
경기,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,3391.0
경기,전용면적 102제곱미터초과,2015.0,11.0,3724.0
부산,모든면적,2015.0,11.0,3131.0
부산,전용면적 60제곱미터이하,2015.0,11.0,2982.0
부산,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,3037.0
부산,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2957.0
부산,전용면적 102제곱미터초과,2015.0,11.0,3739.0
대구,모든면적,2015.0,11.0,2749.0
대구,전용면적 60제곱미터이하,2015.0,11.0,2503.0
대구,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2806.0
대구,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2557.0
대구,전용면적 102제곱미터초과,2015.0,11.0,2743.0
광주,모든면적,2015.0,11.0,2424.0
광주,전용면적 60제곱미터이하,2015.0,11.0,2251.0
광주,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2444.0
광주,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,  
광주,전용면적 102제곱미터초과,2015.0,11.0,  
대전,모든면적,2015.0,11.0,2454.0
대전,전용면적 60제곱미터이하,2015.0,11.0,2585.0
대전,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2428.0
대전,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2461.0
대전,전용면적 102제곱미터초과,2015.0,11.0,  
울산,모든면적,2015.0,11.0,3043.0
울산,전용면적 60제곱미터이하,2015.0,11.0,2584.0
울산,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,3048.0
울산,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2663.0
울산,전용면적 102제곱미터초과,2015.0,11.0,2874.0
세종,모든면적,2015.0,11.0,2648.0
세종,전용면적 60제곱미터이하,2015.0,11.0,2572.0
세종,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2666.0
세종,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2644.0
세종,전용면적 102제곱미터초과,2015.0,11.0,2749.0
강원,모든면적,2015.0,11.0,2171.0
강원,전용면적 60제곱미터이하,2015.0,11.0,2292.0
강원,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2193.0
