지역명,규모구분,연도,월,분양가격(제곱미터) 
서울,모든면적,2015,10,5841
서울,전용면적 60제곱미터이하,2015,10,5652
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,5882
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721
서울,전용면적 102제곱미터초과,2015,10,5879
인천,모든면적,2015,10,3163
인천,전용면적 60제곱미터이하,2015,10,3488
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3545
인천,전용면적 102제곱미터초과,2015,10,3408
경기,모든면적,2015,10,3138
경기,전용면적 60제곱미터이하,2015,10,3126
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3239
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496
경기,전용면적 102제곱미터초과,2015,10,3680
부산,모든면적,2015,10,3112
부산,전용면적 60제곱미터이하,2015,10,2950
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2957
부산,전용면적 102제곱미터초과,2015,10,3500
대구,모든면적,2015,10,2682
대구,전용면적 60제곱미터이하,2015,10,2614
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2696
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557
대구,전용면적 102제곱미터초과,2015,10,2598
광주,모든면적,2015,10,2420
광주,전용면적 60제곱미터이하,2015,10,2253
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,  
광주,전용면적 102제곱미터초과,2015,10,  
대전,모든면적,2015,10,2454
대전,전용면적 60제곱미터이하,2015,10,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461
대전,전용면적 102제곱미터초과,2015,10,  
